,train_pp
0,4100.078125
155648,57.43435287475586
311296,53.316650390625
466944,51.911075592041016
622592,51.18235778808594
778240,50.83586502075195
933888,38.01271057128906
1089536,37.01130294799805
1245184,36.3549690246582
1400832,35.86002731323242
1556480,35.471031188964844
