,ba_ordered
0,0.520317727826254
155648,0.6925957692134697
311296,0.7022435524942685
466944,0.7067078802790294
622592,0.7093616435205723
778240,0.7104989168197939
933888,0.7190113820631355
1089536,0.7205702547117818
1245184,0.7196560255142295
1400832,0.7189991777029515
1556480,0.7184850159330434
