,train_pp
0,4091.056396484375
155648,56.45138931274414
311296,54.14433288574219
466944,53.90979766845703
622592,54.04420852661133
778240,54.23977279663086
933888,36.858741760253906
1089536,35.929054260253906
1245184,35.380462646484375
1400832,34.98765182495117
1556480,34.68539810180664
