,train_pp
0,4090.962890625
155648,59.03966522216797
311296,53.00291061401367
466944,50.07286071777344
622592,48.29399108886719
778240,47.09584426879883
933888,42.6179313659668
1089536,41.62895965576172
1245184,41.001914978027344
1400832,40.5254020690918
1556480,40.13607406616211
