,ba_none
0,0.501092206118441
155648,0.6336035532078083
311296,0.6484306811277765
466944,0.6539871509198898
622592,0.6571012501335148
778240,0.6594207757705105
933888,0.6887653549795849
1089536,0.6974371660579024
1245184,0.7021872024866092
1400832,0.7048218378169355
1556480,0.7036721758496407
