,ba_ordered
0,0.5275985383138947
155648,0.6846883934334622
311296,0.6893449459043376
466944,0.6910789427104667
622592,0.6944641021310413
778240,0.6947982035082463
933888,0.7124235676915018
1089536,0.7167498652016547
1245184,0.7155162231317153
1400832,0.7155198291475611
1556480,0.7148479963370318
