,train_pp
0,4078.017578125
155648,51.731327056884766
311296,47.19377899169922
466944,44.99803924560547
622592,43.65665817260742
778240,42.72991180419922
933888,38.25840759277344
1089536,37.352115631103516
1245184,36.82948303222656
1400832,36.457515716552734
1556480,36.168487548828125
