,ba_ordered
0,0.5375400195676112
155648,0.6820540545975691
311296,0.6932560066797055
466944,0.6946781552328449
622592,0.6966441230334626
778240,0.6973610550828626
933888,0.7194160972448165
1089536,0.7269914631367256
1245184,0.7290623018923543
1400832,0.7313883584243306
1556480,0.7320569939010406
