,train_pp
0,4105.5068359375
155648,54.47319030761719
311296,49.02362823486328
466944,46.5245475769043
622592,45.04262161254883
778240,44.039241790771484
933888,39.2115364074707
1089536,38.2894172668457
1245184,37.74906921386719
1400832,37.36430740356445
1556480,37.06571960449219
